"id_local";"id_distrito_local";"desc_distrito_local";"id_barrio_local";"desc_barrio_local";"id_ndp_edificio";"id_clase_ndp_edificio";"desc_ndp_edificio";"Cod_Postal";"coordenada_x_local";"coordenada_y_local";"id_tipo_acceso_local";"desc_tipo_acceso_local";"id_situacion_local";"desc_situacion_local";"secuencial_local_PC";"Escalera";"id_planta_agrupado";"id_local_agrupado";"coordenada_x_agrupacion";"coordenada_y_agrupacion";"id_periodo_terraza";"desc_periodo_terraza";"id_situacion_terraza";"desc_situacion_terraza";"Superficie_ES";"Superficie_RA";"Fecha_confir_ult_decreto_resol";"id_ndp_terraza";"id_clase_ndp_terraza";"desc_ndp_terraza";"rotulo"
"20001504";"2";"ARGANZUELA          ";"205";"DELICIAS            ";"20175556";"1";"CALLE  BUSTAMANTE NUM 26  A";"28045";"441820,94";"4472614,28";"1";"Puerta Calle";"1";"Abierto";"30";"";"";"";"";"";"2";"Estacional";"1";"Abierta";"22,68";"";"01/08/2014";"31006497";"1";"CALLE  VILLA DEL PRADO NUM 2   ";"RESTAURANTE VILLA DEL PRADO"
"20001524";"2";"ARGANZUELA          ";"202";"ACACIAS             ";"20123832";"1";"PASEO  YESERIAS NUM 15  A";"28005";"439799,24";"4472561,17";"1";"Puerta Calle";"1";"Abierto";"20";"";"";"";"";"";"1";"Anual";"1";"Abierta";"16,64";"16,64";"12/01/2015";"20123832";"1";"PASEO  YESERIAS NUM 15  A";"BAR CAFETERIA EL PUENTE"
"20001579";"2";"ARGANZUELA          ";"202";"ACACIAS             ";"20123832";"1";"PASEO  YESERIAS NUM 15  A";"28005";"439796,7";"4472600,77";"1";"Puerta Calle";"1";"Abierto";"150";"";"";"";"";"";"1";"Anual";"1";"Abierta";"75,6";"37,8";"17/12/2014";"20123832";"1";"PASEO  YESERIAS NUM 15  A";"RESTAURANTE OBOI PARRILLA"
"20001581";"2";"ARGANZUELA          ";"203";"CHOPERA             ";"11009098";"1";"CALLE  GUILLERMO DE OSMA NUM 29   ";"28045";"440892,88";"4471871,72";"1";"Puerta Calle";"1";"Abierto";"10";"";"";"";"";"";"2";"Estacional";"1";"Abierta";"38,88";"";"24/07/2014";"11009098";"1";"CALLE  GUILLERMO DE OSMA NUM 29   ";"PEÑA ATLETICA LEGAZPI"
"20001615";"2";"ARGANZUELA          ";"207";"ATOCHA              ";"20111956";"1";"CALLE  RETAMA NUM 7   ";"28045";"442698,73";"4471869,98";"1";"Puerta Calle";"1";"Abierto";"10";"";"";"";"";"";"2";"Estacional";"1";"Abierta";"25,92";"";"26/06/2015";"20111956";"1";"CALLE  RETAMA NUM 7   ";"ENSALADAS Y MAS"
"20001620";"2";"ARGANZUELA          ";"206";"PALOS DE MOGUER     ";"11010198";"1";"RONDA  ATOCHA NUM 35   ";"28012";"440834,08";"4473253,11";"1";"Puerta Calle";"1";"Abierto";"10";"";"";"";"";"";"2";"Estacional";"1";"Abierta";"12,96";"12,96";"13/08/2015";"11010198";"1";"RONDA  ATOCHA NUM 35   ";"TEATRO CIRCO PRICE Y CAFETERIA CHAPITEAU"
"20001627";"2";"ARGANZUELA          ";"205";"DELICIAS            ";"20137399";"1";"CALLE  BOLIVAR NUM 15  A";"28045";"441499,34";"4471872,17";"1";"Puerta Calle";"1";"Abierto";"110";"";"";"";"";"";"2";"Estacional";"1";"Abierta";"9,36";"";"01/08/2014";"20137399";"1";"CALLE  BOLIVAR NUM 15  A";"BAR CAFETERIA YULI"
"20001631";"2";"ARGANZUELA          ";"202";"ACACIAS             ";"11008438";"1";"PASEO  ACACIAS NUM 4   ";"28005";"440309,54";"4473109,08";"1";"Puerta Calle";"1";"Abierto";"20";"";"";"";"";"";"1";"Anual";"1";"Abierta";"22,32";"22,32";"22/03/2016";"11008438";"1";"PASEO  ACACIAS NUM 4   ";"KEBAB DEL MUNDO"
"20001670";"2";"ARGANZUELA          ";"202";"ACACIAS             ";"11008546";"1";"CALLE  EMBAJADORES NUM 96   ";"28012";"440631,52";"4472889,93";"1";"Puerta Calle";"1";"Abierto";"10";"";"";"";"";"";"2";"Estacional";"1";"Abierta";"14,04";"";"24/07/2014";"11008546";"1";"CALLE  EMBAJADORES NUM 96   ";"SONAR BANGLA DONER KEBAB"
"20001671";"2";"ARGANZUELA          ";"202";"ACACIAS             ";"20123832";"1";"PASEO  YESERIAS NUM 15  A";"28005";"439785,89";"4472570,3";"1";"Puerta Calle";"1";"Abierto";"10";"";"";"";"";"";"2";"Estacional";"1";"Abierta";"36,4";"";"24/07/2014";"20123832";"1";"PASEO  YESERIAS NUM 15  A";"MIS TRADICIONES DEL NORTE"
"20001739";"2";"ARGANZUELA          ";"204";"LEGAZPI             ";"31024605";"1";"CALLE  EROS NUM 7  A";"28045";"442513,05";"4471772,34";"1";"Puerta Calle";"1";"Abierto";"10";"";"";"";"";"";"1";"Anual";"1";"Abierta";"10,8";"10,8";"04/09/2014";"31012639";"1";"CALLE  PLANETA TIERRA NUM 2   ";"THE WOK"
"20001754";"2";"ARGANZUELA          ";"206";"PALOS DE MOGUER     ";"11010261";"1";"CALLE  PALOS DE LA FRONTERA NUM 38   ";"28045";"441035,12";"4472932,98";"1";"Puerta Calle";"1";"Abierto";"40";"";"";"";"";"";"1";"Anual";"1";"Abierta";"8,64";"8,64";"06/02/2015";"11010261";"1";"CALLE  PALOS DE LA FRONTERA NUM 38   ";"LA TABERNA DE ALFONSO"
